title,category,price_gbp,rating,in_stock,imputed,price_inr
Sharp Objects,Mystery,47.82,4,True,False,5045.01
"In a Dark, Dark Wood",Mystery,19.63,1,True,False,2070.96
The Past Never Ends,Mystery,56.5,4,True,False,5960.75
A Murder in Time,Mystery,16.64,1,True,False,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,False,4652.55
The Last Mile (Amos Decker #2),Mystery,54.21,2,True,False,5719.16
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,False,1468.56
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,False,1127.79
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,False,5100.92
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,False,1765.02
Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,False,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,False,5734.98
Most Wanted,Mystery,35.28,3,True,False,3722.04
Hide Away (Eve Duncan #20),Mystery,11.84,1,True,False,1249.12
Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,False,6275.14
The Widow,Mystery,27.26,2,True,False,2875.93
Playing with Fire,Mystery,13.71,3,True,False,1446.41
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,False,2676.54
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,False,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,False,2203.9
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,False,2616.4
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,False,4049.09
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,False,2431.78
The Exiled,Mystery,43.45,3,True,False,4583.98
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,False,2026.66
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True,False,2679.7
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True,False,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True,False,6087.35
The Girl You Lost,Mystery,12.29,5,True,False,1296.59
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True,False,1672.18
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True,False,2141.65
1st to Die (Women's Murder Club #1),Mystery,53.98,1,True,False,5694.89
Tipping the Velvet,Historical Fiction,53.74,1,True,False,5669.57
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,False,3132.3
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,False,5858.42
The House by the Lake,Historical Fiction,36.95,1,True,False,3898.23
Mrs. Houdini,Historical Fiction,30.25,5,True,False,3191.38
The Marriage of Opposites,Historical Fiction,28.08,4,True,False,2962.44
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,False,4836.12
"Love, Lies and Spies",Historical Fiction,20.55,2,True,False,2168.02
A Paris Apartment,Historical Fiction,39.01,4,True,False,4115.55
